_id,Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
1,250903-174,2025-09-17T00:00:00,44103015509,OTRREIZĒJO IZEJVIELU ŠĶIROTĀJS,Lauksaimniecība / Vide,740.000,740.000,Viena vesela slodze,Normālais darba laiks,,2025-09-24T00:00:00,"","Stūri, Stalbes pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425610394
2,250916-15,2025-09-16T00:00:00,44103015509,TRAKTORTEHNIKAS VADĪTĀJS,Lauksaimniecība / Vide,850.000,1450.000,Viena vesela slodze,"",,2025-09-24T00:00:00,"","Stūri, Stalbes pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426841473
3,250904-197,2025-09-04T00:00:00,90000079665,PAŠVALDĪBAS POLICIJAS INSPEKTORS,Drošība / Glābšanas dienesti / Aizsardzība,7.560,7.560,Viena vesela slodze,Summētais darba laiks,,2025-10-31T00:00:00,"","Andreja iela 3, Ventspils",https://cvvp.nva.gov.lv/#/pub/vakances/425778654
4,250902-95,2025-09-02T00:00:00,40900000578,SĒTNIEKS,Izglītība / Zinātne,740.000,740.000,Viena vesela slodze,Normālais darba laiks,,2025-11-30T00:00:00,"","Riekstu iela 2, Lielvārde, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425365156
5,250916-196,2025-09-16T00:00:00,40900000578,MĀSA/ vispārējās aprūpes MĀSA bērnu aprūpē,Izglītība / Zinātne,965.000,965.000,Viena vesela slodze,Normālais darba laiks,,2025-12-15T00:00:00,"","Avotu iela 2, Lielvārde, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426921294
6,250721-15,2025-07-21T00:00:00,40900040335,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1570.000,1570.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-30T00:00:00,"","Veselības iela 7, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421160892
7,250721-12,2025-07-21T00:00:00,40900040335,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,1260.000,1260.000,Viena vesela slodze,Normālais darba laiks,30,2025-09-30T00:00:00,"","Veselības iela 7, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421158537
8,250721-14,2025-07-21T00:00:00,40900040335,Izglītības un skolu PSIHOLOGS,Izglītība / Zinātne,1260.000,1260.000,"","",30,2025-09-30T00:00:00,"","Veselības iela 7, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421159095
9,250801-7,2025-08-01T00:00:00,40900040335,PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Izglītība / Zinātne,1570.000,1570.000,"",Normālais darba laiks,40,2025-09-30T00:00:00,"","Veselības iela 7, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/422207966
10,250918-117,2025-09-18T00:00:00,90000067986,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,900.000,900.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-19T00:00:00,"","Mediķu iela 4, Langstiņi, Garkalnes pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427212471
11,250918-115,2025-09-18T00:00:00,90000067986,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,1283.000,1283.000,Viena vesela slodze,"",30,2025-10-10T00:00:00,"","Institūta iela 34A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427211394
12,250919-71,2025-09-19T00:00:00,90000067986,SKOLAS DIREKTORS /PRIEKŠNIEKS,Izglītība / Zinātne,1850.000,1850.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-03T00:00:00,"","Rīgas iela 6, Ropaži, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427292535
13,250902-70,2025-09-02T00:00:00,90000067986,BŪVINŽENIERIS,Būvniecība / Nekustamais īpašums,2022.000,2246.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-26T00:00:00,"","Institūta iela 1A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425349246
14,250902-67,2025-09-02T00:00:00,90000067986,TRANSPORTA /TĪKLU INŽENIERIS,Būvniecība / Nekustamais īpašums,2022.000,2246.000,Viena vesela slodze,Normālais darba laiks,,2025-09-26T00:00:00,"","Institūta iela 1, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425347525
15,250902-74,2025-09-02T00:00:00,90000067986,SĒTNIEKS,Cita,740.000,740.000,Viena vesela slodze,Normālais darba laiks,,2025-10-01T00:00:00,"","Vidzemes šoseja 34, Garkalne, Garkalnes pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425353070
16,250904-39,2025-09-04T00:00:00,90000067986,PROJEKTA VADĪTĀJS,Valsts pārvalde,1619.000,1799.000,Viena vesela slodze,Normālais darba laiks,,2025-09-26T00:00:00,"","Institūta iela 1A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425662805
17,250904-163,2025-09-04T00:00:00,90000067986,PEDAGOGA PALĪGS,Izglītība / Zinātne,1320.000,1320.000,Viena vesela slodze,Normālais darba laiks,,2025-10-31T00:00:00,"","Kaudzīšu iela 31, Rumbula, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425764716
18,250904-165,2025-09-04T00:00:00,90000067986,SPECIĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1584.000,1584.000,Viena vesela slodze,Normālais darba laiks,,2025-10-31T00:00:00,"","Kaudzīšu iela 31, Rumbula, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425765231
19,250904-166,2025-09-04T00:00:00,90000067986,AUKLIS,Izglītība / Zinātne,740.000,740.000,Viena vesela slodze,Normālais darba laiks,,2025-10-31T00:00:00,"","Kaudzīšu iela 31, Rumbula, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425765556
20,250905-112,2025-09-05T00:00:00,90000067986,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1600.000,1600.000,Viena vesela slodze,Normālais darba laiks,,2025-09-30T00:00:00,"","Institūta iela 34A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425899796
21,250905-114,2025-09-05T00:00:00,90000067986,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,900.000,900.000,Viena vesela slodze,Normālais darba laiks,,2025-09-30T00:00:00,"","Institūta iela 34A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425900053
22,250908-103,2025-09-08T00:00:00,90000067986,PIRMSSKOLAS IZGLĪTĪBAS METODIĶIS,Izglītība / Zinātne,1790.000,1790.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-30T00:00:00,"","Mediķu iela 4, Langstiņi, Garkalnes pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426030728
23,250908-198,2025-09-08T00:00:00,90000067986,Mākslinieciskais VADĪTĀJS,Kultūra / Māksla,1384.000,1600.000,Viena vesela slodze,"",,2025-09-22T00:00:00,"","Sporta iela 2 k-2, Ropaži, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426085462
24,250911-83,2025-09-11T00:00:00,90000067986,Energosistēmu INŽENIERIS/ EnergoPĀRVALDNIEKS,Elektronika / Enerģētika / Elektroenerģija,2022.000,2246.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-26T00:00:00,"","Institūta iela 1, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426482968
25,250911-171,2025-09-12T00:00:00,90000067986,DATORSISTĒMU TEHNIĶIS,Informācijas tehnoloģijas / Telekomunikācijas,1439.000,1799.000,Viena vesela slodze,Normālais darba laiks,,2025-09-26T00:00:00,"","Institūta iela 30 - 3, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426534005
26,250911-170,2025-09-12T00:00:00,90000067986,JAUNATNES LIETU SPECIĀLISTS,Izglītība / Zinātne,700.000,700.000,Nepilna slodze,Nepilnais darba laiks,20,2025-10-01T00:00:00,"","Brīvības gatve 455, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426533994
27,250911-172,2025-09-12T00:00:00,90000067986,JAUNATNES LIETU SPECIĀLISTS,Izglītība / Zinātne,1120.000,1400.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-01T00:00:00,"","Brīvības gatve 455, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426534062
28,250917-88,2025-09-17T00:00:00,90000067986,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,1283.000,1283.000,Viena vesela slodze,Normālais darba laiks,30,2025-10-10T00:00:00,"","Mediķu iela 4, Langstiņi, Garkalnes pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427048336
29,250917-89,2025-09-17T00:00:00,90000067986,SĒTNIEKS,Izglītība / Zinātne,740.000,740.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-10T00:00:00,"","Mediķu iela 4, Langstiņi, Garkalnes pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427049382
30,250714-79,2025-07-14T00:00:00,50900009901,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,825.000,825.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-30T00:00:00,"","Stendes iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/420648614
31,250804-107,2025-08-04T00:00:00,50900009901,PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Izglītība / Zinātne,1252.800,1252.800,Nepilna slodze,Normālais darba laiks,27,2025-11-01T00:00:00,"","Stendes iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/422514790
32,250902-226,2025-09-03T00:00:00,90009114631,Izglītības un skolu PSIHOLOGS,Izglītība / Zinātne,245.000,245.000,Nepilna slodze,Nepilnais darba laiks,,2025-09-30T00:00:00,"","Skolas iela 5, Vidriži, Vidrižu pag., Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425447114
33,250902-228,2025-09-03T00:00:00,90009114631,SOCIĀLAIS PEDAGOGS,Izglītība / Zinātne,245.000,245.000,Nepilna slodze,Nepilnais darba laiks,,2025-09-30T00:00:00,"","Skolas iela 5, Vidriži, Vidrižu pag., Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425447162
34,250902-223,2025-09-03T00:00:00,90009114631,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1409.000,1566.000,Nepilna slodze,Nepilnais darba laiks,,2025-09-30T00:00:00,"","Skolas iela 8, Vidriži, Vidrižu pag., Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425447055
35,250903-168,2025-09-03T00:00:00,90009114631,PROJEKTA KOORDINATORS,Valsts pārvalde,1500.000,1500.000,Viena vesela slodze,Normālais darba laiks,,2025-09-23T00:00:00,"","Rīgas iela 16, Limbaži, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425608423
36,250905-134,2025-09-05T00:00:00,90009114631,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,2500.000,2500.000,Viena vesela slodze,Normālais darba laiks,,2025-09-25T00:00:00,"","Rīgas iela 16, Limbaži, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425913722
37,250908-93,2025-09-08T00:00:00,90009114631,VADĪTĀJA VIETNIEKS /DIREKTORA VIETNIEKS /IZPILDDIREKTORS (IZGLĪTĪBAS JOMĀ),Valsts pārvalde,2100.000,2100.000,Viena vesela slodze,Normālais darba laiks,,2025-09-22T00:00:00,"","Rīgas iela 16, Limbaži, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426026892
38,250910-57,2025-09-10T00:00:00,90009114631,PSIHOLOGS,Valsts pārvalde,1410.000,1410.000,"",Normālais darba laiks,,2025-10-03T00:00:00,"","Jūras iela 27, Limbaži, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426330760
39,250915-33,2025-09-15T00:00:00,90009114631,ĒKU UN APSAIMNIEKOJAMĀS TERITORIJAS PĀRZINIS,Cita,960.000,960.000,Viena vesela slodze,Normālais darba laiks,,2025-09-30T00:00:00,"","Mūru iela 17, Limbaži, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426726161
40,250915-46,2025-09-15T00:00:00,90009114631,AUTOBUSA VADĪTĀJS,Cita,7.000,7.000,Viena vesela slodze,Summētais darba laiks,,2025-09-30T00:00:00,"","Liepas, Gravas, Vidrižu pag., Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426734821
41,250915-193,2025-09-16T00:00:00,90009114631,PAŠVALDĪBAS PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS,Vadība / Administrēšana,2500.000,2500.000,Viena vesela slodze,Normālais darba laiks,,2025-09-30T00:00:00,"","Rīgas iela 16, Limbaži, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426819581
42,250916-177,2025-09-16T00:00:00,90009114631,SĒTNIEKS,Cita,850.000,850.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-30T00:00:00,"","Mandegas, Skultes pag., Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426911246
43,250916-173,2025-09-16T00:00:00,90009114631,SĒTNIEKS,Cita,740.000,740.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-30T00:00:00,"","Mandegas, Skultes pag., Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426910238
44,250916-180,2025-09-16T00:00:00,90009114631,SKOLĒNU PAVADONIS,Cita,370.000,370.000,Nepilna slodze,Nepilnais darba laiks,,2025-09-30T00:00:00,"","Mandegas, Skultes pag., Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426912787
45,250904-184,2025-09-04T00:00:00,90000289913,INFORMĀCIJAS SISTĒMU ADMINISTRATORS,Vadība / Administrēšana,2364.000,3377.000,Viena vesela slodze,Normālais darba laiks,,2025-09-24T00:00:00,"","Bruņinieku iela 72B, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425774905
46,250904-187,2025-09-04T00:00:00,90000289913,Biznesa procesu ANALĪTIĶIS,Vadība / Administrēšana,2364.000,3377.000,Viena vesela slodze,Normālais darba laiks,,2025-09-24T00:00:00,"","Bruņinieku iela 72B, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425775542
47,250909-104,2025-09-09T00:00:00,90009612809,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Ražošana,479.700,479.700,Nepilna slodze,Normālais darba laiks,9,2025-09-30T00:00:00,"","Vadu iela 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426201595
48,250909-107,2025-09-09T00:00:00,90009612809,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1439.100,1439.100,Nepilna slodze,Normālais darba laiks,27,2025-09-30T00:00:00,"","Vadu iela 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426203679
49,250909-113,2025-09-09T00:00:00,90009612809,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,959.400,959.400,Nepilna slodze,Nepilnais darba laiks,18,2025-09-30T00:00:00,"","Vadu iela 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426207177
50,250909-115,2025-09-09T00:00:00,90009612809,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Ražošana,159.900,159.900,Nepilna slodze,Nepilnais darba laiks,3,2025-09-30T00:00:00,"","Vadu iela 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426208151
51,250909-119,2025-09-09T00:00:00,90009612809,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,660.000,660.000,Nepilna slodze,Nepilnais darba laiks,15,2025-09-30T00:00:00,"","Vadu iela 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426209817
52,250909-123,2025-09-09T00:00:00,90009612809,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1584.000,1584.000,Viena vesela slodze,Normālais darba laiks,36,2025-09-30T00:00:00,"","Vadu iela 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426214048
53,250909-121,2025-09-09T00:00:00,90009612809,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1320.000,1320.000,Viena vesela slodze,Normālais darba laiks,30,2025-09-30T00:00:00,"","Vadu iela 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426213046
54,250909-124,2025-09-09T00:00:00,90009621093,SKOLAS DIREKTORA VIETNIEKS /PRIEKŠNIEKA VIETNIEKS,Izglītība / Zinātne,2767.000,2767.000,Viena vesela slodze,Normālais darba laiks,,2025-09-30T00:00:00,"","Ogres meža tehnikums, Aizupes, Tīnūžu pag., Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426215355
55,250917-16,2025-09-17T00:00:00,40900021870,SPORTA METODIĶIS,Izglītība / Zinātne,1645.000,1645.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-26T00:00:00,"","Skolas iela 21, Ogre, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426989183
56,250909-61,2025-09-09T00:00:00,40900030144,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1268.460,1458.730,Nepilna slodze,Maiņu darbs,32,2025-10-06T00:00:00,"","Ventspils iela 2A, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/426165097
57,250718-68,2025-07-18T00:00:00,40900012011,SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Valsts pārvalde,1258.000,1258.000,Viena vesela slodze,Normālais darba laiks,,2025-10-17T00:00:00,"","Daugavas iela 1, Aizkraukle, Aizkraukles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421078927
58,250903-188,2025-09-04T00:00:00,40900012011,SOCIĀLAIS REHABILITĒTĀJS,Veselības aprūpe / Sociālā aprūpe,419.000,419.000,Nepilna slodze,Summētais darba laiks,20,2025-09-26T00:00:00,"","Daugavas iela 85A, Skrīveri, Skrīveru pag., Aizkraukles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425614492
59,250916-32,2025-09-17T00:00:00,40900012011,SOCIĀLĀS PALĪDZĪBAS ORGANIZATORS,Veselības aprūpe / Sociālā aprūpe,1031.000,1031.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-10T00:00:00,"","Atpūtas, Zalve, Zalves pag., Aizkraukles nov., LV-5112, Liepu 2, Ērberģe, Mazzalves pagasts, Aizkraukles novads, LV-5133, Nākotnes iela 4, Pilskalne, Pilskalnes pag., Aizkraukles nov., LV-5110",https://cvvp.nva.gov.lv/#/pub/vakances/426846270
60,250820-53,2025-08-20T00:00:00,90000069830,INTERVĒTĀJS,Valsts pārvalde,900.000,1059.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-30T00:00:00,"","Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/424152955
61,250828-80,2025-09-15T00:00:00,90000069830,VECĀKAIS EKSPERTS,Valsts pārvalde,1619.000,1905.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-26T00:00:00,"","Lāčplēša iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/424925199
62,250902-108,2025-09-02T00:00:00,90000069830,INTERVĒTĀJS,Valsts pārvalde,900.000,1059.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-30T00:00:00,"","Ādaži, Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425374666
63,250905-29,2025-09-05T00:00:00,90000069830,INFORMĀCIJAS TEHNOLOĢIJU STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS,Valsts pārvalde,2703.000,3180.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-02T00:00:00,"","Lāčplēša iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425818889
64,250909-171,2025-09-09T00:00:00,4301902806,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,1539.000,1539.000,Nepilna slodze,Nepilnais darba laiks,,2025-09-28T00:00:00,"","Gaujas iela 41, Mārupe, Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426251680
65,250909-172,2025-09-09T00:00:00,4301902806,Izglītības un skolu PSIHOLOGS,Izglītība / Zinātne,1539.000,1539.000,Viena vesela slodze,Normālais darba laiks,30,2025-10-05T00:00:00,"","Gaujas iela 41, Mārupe, Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426251916
66,250919-65,2025-09-19T00:00:00,90000025446,PEDAGOGA PALĪGS,Izglītība / Zinātne,807.650,1175.000,Nepilna slodze,Normālais darba laiks,20,2025-11-01T00:00:00,"","Kooperatīva šķērsiela 4, Rēzekne",https://cvvp.nva.gov.lv/#/pub/vakances/427289418
67,250904-156,2025-09-08T00:00:00,90000025446,SĒTNIEKS,Izglītība / Zinātne,740.000,740.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-17T00:00:00,"","Kaļķu iela 12, Rēzekne",https://cvvp.nva.gov.lv/#/pub/vakances/425756052
68,250908-104,2025-09-08T00:00:00,90000025446,TEHNISKAIS STRĀDNIEKS,Pakalpojumi,740.000,740.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-26T00:00:00,"","Kosmonautu iela 6, Rēzekne",https://cvvp.nva.gov.lv/#/pub/vakances/426033478
69,250908-143,2025-09-12T00:00:00,90000025446,SĒTNIEKS,Pakalpojumi,740.000,740.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-22T00:00:00,"","Dārzu iela 17, Rēzekne",https://cvvp.nva.gov.lv/#/pub/vakances/426060971
70,250916-53,2025-09-16T00:00:00,90000025446,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,Nepilna slodze,Nepilnais darba laiks,13,2025-09-30T00:00:00,"","Kosmonautu iela 6, Rēzekne",https://cvvp.nva.gov.lv/#/pub/vakances/426849625
71,250916-58,2025-09-16T00:00:00,90000025446,PEDAGOGA PALĪGS,Izglītība / Zinātne,1175.000,1175.000,Nepilna slodze,Nepilnais darba laiks,26,2025-09-30T00:00:00,"","Kosmonautu iela 6, Rēzekne",https://cvvp.nva.gov.lv/#/pub/vakances/426851181
72,250919-121,2025-09-19T00:00:00,90000078104,SPECIĀLAIS PEDAGOGS,Veselības aprūpe / Sociālā aprūpe,1536.000,1536.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-16T00:00:00,"","Ezera iela 23A, Vecružina, Silmalas pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427321156
73,250917-64,2025-09-17T00:00:00,90000078104,MĀKSLAS TERAPEITS,Veselības aprūpe / Sociālā aprūpe,803.500,803.500,Nepilna slodze,Normālais darba laiks,20,2025-10-16T00:00:00,"","Ezera iela 23A, Vecružina, Silmalas pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427029420
74,250917-68,2025-09-17T00:00:00,90000078104,AUDIOLOGOPĒDS,Veselības aprūpe / Sociālā aprūpe,803.500,803.500,Nepilna slodze,Normālais darba laiks,20,2025-10-16T00:00:00,"","Ezera iela 23A, Vecružina, Silmalas pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427031448
75,250917-76,2025-09-17T00:00:00,90000078104,LIETVEDIS,Vadība / Administrēšana,1007.000,1007.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-16T00:00:00,"","Ezera iela 23A, Vecružina, Silmalas pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427035806
76,250805-62,2025-08-05T00:00:00,40900004739,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1506.000,1979.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-30T00:00:00,"","Ulbrokas vidusskola, Vālodzes, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/422659347
77,250902-57,2025-09-02T00:00:00,40900004739,REMONTSTRĀDNIEKS,Izglītība / Zinātne,786.500,786.500,Viena vesela slodze,"",,2025-09-30T00:00:00,"","Institūta iela 83, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425329561
78,250908-240,2025-09-08T00:00:00,40900004739,KONCERTMEISTARS,Izglītība / Zinātne,1175.000,1175.000,Nepilna slodze,Nepilnais darba laiks,8,2025-10-31T00:00:00,"","Institūta iela 83, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426100761
79,250828-70,2025-08-28T00:00:00,90000047814,ARHIVĀRS,Izglītība / Zinātne,460.000,460.000,Nepilna slodze,Nepilnais darba laiks,16,2025-10-01T00:00:00,"","Skolas iela 12, Upeslejas, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/424917331
80,250905-94,2025-09-05T00:00:00,90000047814,PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Izglītība / Zinātne,1600.000,1600.000,Viena vesela slodze,"",,2025-10-31T00:00:00,"","Skolas iela 12, Upeslejas, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425865654
81,250915-174,2025-09-15T00:00:00,90000031048,SKOLAS DIREKTORS /PRIEKŠNIEKS,Cita,2189.000,2189.000,"","",,2025-10-14T00:00:00,"","Piebalgas iela 18, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426814739
82,250918-66,2025-09-18T00:00:00,90000031048,DATORSISTĒMU UN DATORTĪKLU ADMINISTRATORS,Cita,1381.000,1381.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-06T00:00:00,"","Cēsu prospekts 5, Priekuļi, Priekuļu pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427165479
83,250910-52,2025-09-10T00:00:00,90000065595,Nekustamā īpašuma SPECIĀLISTS,Būvniecība / Nekustamais īpašums,1286.000,1286.000,Viena vesela slodze,"",,2025-09-22T00:00:00,"","Rīgas iela 77, Līvāni, Līvānu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426328601
84,250915-172,2025-09-15T00:00:00,90000065595,SAIMNIECĪBAS PĀRZINIS,Kultūra / Māksla,1012.000,1012.000,Viena vesela slodze,"",,2025-09-29T00:00:00,"","Rīgas iela 105, Līvāni, Līvānu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426814654
