_id,Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
741,250526-14,2025-05-26T00:00:00,40003619950,MEHĀNISKĀ TRANSPORTLĪDZEKĻA VADĪTĀJS,Transports / Loģistika,7.080,7.940,Viena vesela slodze,Summētais darba laiks,,2025-09-30T00:00:00,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/415710718
742,250822-19,2025-08-22T00:00:00,40003619950,AUTOBUSA VADĪTĀJS,Transports / Loģistika,8.500,9.350,Viena vesela slodze,Summētais darba laiks,,2025-09-30T00:00:00,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/424350820
743,250815-34,2025-08-15T00:00:00,40003619950,PALĪGSTRĀDNIEKS,Transports / Loģistika,935.000,1029.000,Viena vesela slodze,Normālais darba laiks,,2025-09-30T00:00:00,"","Brīvības iela 191, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/423772058
744,250417-4,2025-04-17T00:00:00,40003619950,TRANSPORTA KONTROLIERIS,Transports / Loģistika,7.990,8.790,Viena vesela slodze,Summētais darba laiks,,2025-09-30T00:00:00,"","Atgāzenes iela 24A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/412249570
745,250422-42,2025-04-22T00:00:00,40003619950,TERMISTS,Ražošana,1435.000,1579.000,Viena vesela slodze,Normālais darba laiks,,2025-09-30T00:00:00,"","Brīvības iela 191, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/412428340
746,250903-16,2025-09-03T00:00:00,40003619950,TRANSPORTLĪDZEKĻU TEHNISKĀS KONTROLES INSPEKTORS,Transports / Loģistika,1675.000,1759.000,Viena vesela slodze,Normālais darba laiks,,2025-09-30T00:00:00,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425462808
747,250904-93,2025-09-04T00:00:00,40003619950,Ritošā sastāva ATSLĒDZNIEKS,Transports / Loģistika,8.250,9.080,Viena vesela slodze,Summētais darba laiks,,2025-09-30T00:00:00,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425710899
748,250908-42,2025-09-08T00:00:00,40003619950,DARBA AIZSARDZĪBAS VECĀKAIS SPECIĀLISTS,Drošība / Glābšanas dienesti / Aizsardzība,2855.000,3141.000,Viena vesela slodze,Normālais darba laiks,,2025-09-25T00:00:00,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425994489
749,250909-62,2025-09-09T00:00:00,40003619950,TEHNISKĀS STRUKTŪRVIENĪBAS VADĪTĀJA VIETNIEKS,Vadība / Administrēšana,2550.000,2805.000,Viena vesela slodze,Normālais darba laiks,,2025-09-29T00:00:00,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426165539
750,250207-86,2025-02-07T00:00:00,40003619950,TRAMVAJA VADĪTĀJS,Transports / Loģistika,6.680,7.350,Viena vesela slodze,Summētais darba laiks,,2025-09-30T00:00:00,"","Brīvības iela 191, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/404776757
751,250408-180,2025-04-08T00:00:00,40003619950,REMONTATSLĒDZNIEKS,Transports / Loģistika,1365.000,1645.000,Viena vesela slodze,Normālais darba laiks,,2025-09-30T00:00:00,"","Vienības gatve 16, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/411335888
